"","PMID","ShortAffil","NAuth","lat","long","country"
"59","26408930","paul stradins clinical university hospital, latvian research institute of cardiology, university of latvia, riga, latvia",47,56.9328855,24.068306,"Latvia"
"60","26408930","universität des saarlandes, homburg, germany",47,49.3088644,7.345788,"Germany"
"61","26408930","university of ioannina medical school, ioannina, greece",47,39.6158593,20.8450898,"Greece"
"62","26408930","linkoping university, linkoping, sweden",47,58.3978364,15.5760072,"Sweden"
"63","26408930","herlev and gentofte hospital, copenhagen university hospital, university of copenhagen, copenhagen, denmark",47,55.7387199,12.5482586,"Denmark"
"64","26408930","biotechnology research center, mashhad university of medical sciences, mashhad, iran",47,36.2822198,59.536874,"Iran"
"65","26408930","deutsches herzzentrum munchen, klinikan der tu munchen, munich heart alliance, germany",47,48.1524808,11.5487284,"Germany"
"66","26408930","cmhs, uae university, alain, united arab emirates",47,24.200588,55.676034,"United Arab Emirates"
"67","26408930","cardiovascular genetic laboratory, cardiovascular health commission, montevideo, uruguay",47,-34.8839518,-56.1658836,"Uruguay"
"68","26408930","national taiwan university hospital, taipei, taiwan",47,25.0406784,121.518969,"Taiwan"
"69","26408930","laboratory of clinical lipidology, cardiology research complex, moscow, russia",47,55.7559538,37.3783016,"Russia"
"70","26408930","institute for molecular medicine finland fimm, university of helsinki, helsinki, finland",47,60.1905707,24.9041521,"Finland"
"71","26408930","university of milan and multimedica irccs milan, italy",47,45.5364641,9.2188985,"Italy"
"72","26931763",NA,1,NA,NA,NA
"73","25769627",NA,3,NA,NA,NA
"74","26410510",NA,7,NA,NA,NA
"75","27632889",NA,6,NA,NA,NA
"76","26342305",NA,1,NA,NA,NA
"77","25763428",NA,3,NA,NA,NA
"78","26294840",NA,2,NA,NA,NA
"79","25547179",NA,5,NA,NA,NA
"80","25916053",NA,4,NA,NA,NA
"81","26863347",NA,9,NA,NA,NA
"82","26470700",NA,6,NA,NA,NA
"83","25946736",NA,3,NA,NA,NA
"84","27263759",NA,4,NA,NA,NA
"85","27026117",NA,1,NA,NA,NA
"86","26052113",NA,1,NA,NA,NA
"87","26962013",NA,12,NA,NA,NA
"88","26625563",NA,1,NA,NA,NA
"89","27863994",NA,2,NA,NA,NA
"90","27353296",NA,0,NA,NA,NA
"91","26719501",NA,1,NA,NA,NA
"92","29441854",NA,2,NA,NA,NA
"93","26727699",NA,1,NA,NA,NA
"94","26333983",NA,1,NA,NA,NA
"95","26736587",NA,3,NA,NA,NA
"96","26735226",NA,1,NA,NA,NA
"97","25752154",NA,0,NA,NA,NA
